Category,State/ Union Teritorries,GSDP As on 01.03.2014 (Rs. Crore) - 2007-08,GSDP As on 01.03.2014 (Rs. Crore) - 2008-09,GSDP As on 01.03.2014 (Rs. Crore) - 2009-10,GSDP As on 01.03.2014 (Rs. Crore) - 2010-11,GSDP As on 01.03.2014 (Rs. Crore) - 2011-12,GSDP As on 01.03.2014 (Rs. Crore) - 2012-13,GSDP As on 01.03.2014 (Rs. Crore) - 2013-14,Population (In Crore) - 2007-08,Population (In Crore) - 2008-09,Population (In Crore) - 2009-10,Population (In Crore) - 2010-11,Population (In Crore) - 2011-12,Population (In Crore) - 2012-13,Population (In Crore) - 2013-14,Per Capita State Domestic Product (In Rupees) - 2007-08,Per Capita State Domestic Product (In Rupees) - 2008-09,Per Capita State Domestic Product (In Rupees) - 2009-10,Per Capita State Domestic Product (In Rupees) - 2010-11,Per Capita State Domestic Product (In Rupees) - 2011-12,Per Capita State Domestic Product (In Rupees) - 2012-13,Per Capita State Domestic Product (In Rupees) - 2013-14
Special Category States (SCS),Arunachal Pradesh,4810,5687,7474,9013,10619,12091,13382,0.127865745,0.130871672,0.133938537,0.137068877,0.140266999,0.143553507,0.146914833,37617.58084,43454.78204,55801.71455,65755.26263,75705.61929,84226.43408,91086.78603
Special Category States (SCS),Assam,71076,81074,95975,112688,125820,141621,162652,2.928229216,2.966015187,3.003664165,3.041285097,3.079115749,3.116714021,3.153967295,24272.69,27334.31722,31952.64008,37052.75777,40862.38071,45439.20265,51570.6045
Special Category States (SCS),Himachal Pradesh,33963,41483,48189,57452,64957,73710,82585,0.656710841,0.663592132,0.670194506,0.676693963,0.690100988,0.697137788,0.704171181,51716.82557,62512.79668,71903.00665,84901.00866,94126.80341,105732.3262,117279.7215
Special Category States (SCS),Jammu and Kashmir,37099,42315,48385,58073,65759,75574,87319,1.119207228,1.134979478,1.150609212,1.165905859,1.180605337,1.195191579,1.209594573,33147.57005,37282.61242,42051.63619,49809.33883,55699.39248,63231.70385,72188.65058
Special Category States (SCS),Manipur,6783,7399,8254,9137,10504,11983,13433.12548,0.261940848,0.266984217,0.27207972,0.277211296,0.282344291,0.287574711,0.292902024,25895.15937,27713.24871,30336.69696,32960.41733,37202.80642,41669.1717,45862.18046
Special Category States (SCS),Meghalaya,9735,11617,12709,14583,16412,18135,20808,0.251804026,0.254811128,0.257799824,0.260896044,0.263907188,0.266899669,0.269999259,38661.0181,45590.6306,49297.93904,55895.82656,62188.52975,67946.88082,77066.87805
Special Category States (SCS),Mizoram,3816,4577,5260,6388,7198,8053,9366.087938,0.104992613,0.107666788,0.110429591,0.113274197,0.11616505,0.119156421,0.122224822,36345.41425,42510.78816,47632.16027,56394.13167,61963.55946,67583.4333,76629.99879
Special Category States (SCS),Nagaland,8075,9436,10527,11759,13203,14832,16703.20771,0.186996249,0.19010303,0.193203183,0.195206837,0.201194883,0.207593476,0.214195563,43182.68447,49636.24202,54486.67989,60238.66887,65622.94143,71447.33209,77981.10975
Special Category States (SCS),Sikkim,2506,3229,6133,7412,8616,9957,13261.90796,0.058686607,0.059510609,0.06019883,0.060896189,0.061703339,0.062303317,0.062909129,42701.39524,54259.2327,101879.057,121715.3342,139635.8803,159814.926,210810.5467
Special Category States (SCS),Tripura,11797,13573,15403,17868,20982,23855,27499.38196,0.347397107,0.3515,0.355691461,0.359890662,0.364107606,0.368306547,0.37255391,33958.25629,38614.50925,43304.38514,49648.41234,57625.82178,64769.4162,73813.16159
Special Category States (SCS),Uttarakhand,45856,56025,70730,83969,97696,113958,132969,0.945105631,0.959702171,0.974198725,0.988498896,1.002702894,1.016702896,1.03059736,48519.44426,58377.48592,72603.25657,84945.97247,97432.64987,112085.8419,129021.2892
Special Category States (SCS),Sub Total - SCS,235516,276415,329039,388342,441766,503769,579978.711,6.98893611,7.085736412,7.182007754,7.276827917,7.382214322,7.481133931,7.580029951,33698.40506,39010.05963,45814.34764,53366.93466,59841.93641,67338.5886,76514.0395
General Category States (GCS),Andhra Pradesh,364813,426765,476835,583762,662592,754409,857364,8.204910572,8.285801079,8.364893739,8.442601287,8.518793261,8.593498607,8.666300155,44462.76371,51505.58117,57004.3105,69144.80267,77780.03054,87788.34262,98930.79915
General Category States (GCS),Bihar,113680,142279,162924,204289,247318,313995,368337,9.307121527,9.447115385,9.584783593,9.719028509,9.850477895,9.978765552,10.10358947,12214.30274,15060.57608,16998.19286,21019.48768,25107.20826,31466.31699,36456.05368
General Category States (GCS),Chhattisgarh,80255,96972,99364,119420,132872,153621,175961,2.360005165,2.410008149,2.450004073,2.500008017,2.549999551,2.599996646,2.649993332,34006.28151,40237.20834,40556.66727,47767.84683,52106.67585,59085.07621,66400.54443
General Category States (GCS),Goa,19565,25414,29126,33605,36025,34965,39302.37541,0.156795559,0.162901478,0.169102489,0.174897514,0.179901833,0.184696999,0.189619977,124780.3201,156008.4061,172238.742,192141.0958,200248.0988,189310.0603,207269.171
General Category States (GCS),Gujarat,329285,367912,431262,521519,594563,670016,776933.6666,5.6298,5.7109,5.791,5.870202194,5.948499647,6.025902414,6.104312358,58489.64439,64422.77049,74471.07581,88841.7439,99951.75847,111189.3214,127276.1977
General Category States (GCS),Haryana,151596,182522,223600,260621,301959,345238,392894,2.399701406,2.442495549,2.484900975,2.526996803,2.56859617,2.609900582,2.651001037,63172.85961,74727.66943,89983.46503,103134.6774,117557.9889,132280.1345,148205.902
General Category States (GCS),Jharkhand,83950,87794,100621,127281,143891,164876,189208,3.00084715,3.043759483,3.086560607,3.129287751,3.172729618,3.215892837,3.258773067,27975.43354,28843.93478,32599.71626,40674.11185,45352.43066,51269.12132,58061.11567
General Category States (GCS),Karnataka,270629,310312,337559,410703,458894,524502,593811,5.72919053,5.792697077,5.855191787,5.916993574,5.97800044,6.038198448,6.097505531,47236.86506,53569.51966,57651.22856,69410.75647,76763.79496,86863.98841,97385.88953
General Category States (GCS),Kerala,175141,202783,231999,263773,307906,349338,401072.4242,3.369387309,3.395807412,3.421611928,3.446712588,3.470792351,3.494210806,3.517787272,51980.07352,59715.69508,67804.00725,76528.86432,88713.46047,99976.22337,114012.6998
General Category States (GCS),Madhya Pradesh,161479,197276,227557,263396,311670,372171,450900,6.826612897,6.942801187,7.058215706,7.173196302,7.287909216,7.401997555,7.515303331,23654.3367,28414.46769,32240.0178,36719.47468,42765.3516,50279.80585,59997.57829
General Category States (GCS),Maharashtra,684817,753969,855751,1035086,1199548,1372644,1586151.719,10.73210843,10.89079813,11.04850196,11.20419889,11.35689658,11.50830211,11.66172612,63810.1082,69229.91236,77454.02978,92383.75811,105622.8691,119274.2411,136013.46
General Category States (GCS),Odisha,129274,148491,162946,197530,214583,255459,288414,4.006090945,4.058993749,4.112706481,4.167190481,4.222504745,4.278607283,4.335601303,32269.36227,36583.2049,39620.13841,47401.24093,50818.88901,59706.11068,66522.26066
General Category States (GCS),Punjab,152245,174039,197500,226204,256430,286809,319117,2.748197651,2.799005695,2.850691692,2.903408928,2.95708548,2.979618145,3.034686667,55398.1261,62178.86599,69281.43109,77909.79695,86717.14149,96256.96517,105156.4906
General Category States (GCS),Rajasthan,194822,230949,265825,338348,403422,459215,513688,6.40771302,6.52001289,6.631010268,6.740109865,6.846808421,6.95190116,7.055898521,30404.29548,35421.55574,40088.15991,50199.18173,58921.17541,66056.03121,72802.63435
General Category States (GCS),Tamil Nadu,350819,401336,479733,584896,665312,744474,850319,6.591895799,6.638600185,6.683606839,6.727297579,6.769805123,6.810704266,6.850077005,53219.74296,60454.91351,71777.56136,86943.67882,98276.38874,109309.4005,124132.7651
General Category States (GCS),Uttar Pradesh,383026,444685,523394,600164,679007,768930,886410,18.88122418,19.2324809,19.58408057,19.93468988,20.28299429,20.63119879,20.98020479,20286.07872,23121.56202,26725.48237,30106.51299,33476.66475,37270.25306,42249.82591
General Category States (GCS),West Bengal,299483,341942,398880,460959,538209,620160,707848,8.665916939,8.750528362,8.833475475,8.915885279,8.99872062,9.080196452,9.159442045,34558.72034,39076.72609,45155.4998,51700.86711,59809.50212,68298.0818,77280.68986
General Category States (GCS),Sub Total - GCS,3944879,4535440,5204876,6231556,7154201,8190822,9397731.186,105.0175191,106.5247067,108.0103382,109.4927054,110.9605152,112.3835887,113.831822,37564.0087,42576.41387,48188.68349,56912.97858,64475.19629,72882.72334,82558.03186
Union Teritorries With legislatures,Delhi,157947,189533,217619,252753,296957,348221,404576,1.569901618,1.600110956,1.630796595,1.66220397,1.694103054,1.726601484,1.75969979,100609.4893,118449.9108,133443.374,152058.9558,175288.628,201680.0074,229911.9443
Union Teritorries With legislatures,Puducherry,9251,10050,12304,13092,14630,17192,21500,0.110227625,0.112324414,0.114443527,0.116609941,0.12635581,0.129526962,0.13277007,83926.32975,89472.97934,107511.5417,112271.7312,115784.1495,132729.1224,161934.0861
Union Teritorries With legislatures,Sub Total - Union Teritorries,167198,199583,229923,265845,311587,365413,426076,1.680129243,1.71243537,1.745240122,1.778813912,1.820458864,1.856128446,1.89246986,99514.96333,116549.2161,131742.903,149450.7088,171158.4953,196868.3799,225142.8195
Grand Total,Grand Total - All States and Union Teritorries,4347593,5011438,5763838,6885743,7907554,9060004,10403785.9,113.6865844,115.3228785,116.9375861,118.5483473,120.1631884,121.720851,123.3043218,38241.91765,43455.71378,49289.86645,58083.83802,65806.79244,74432.63766,84374.86818
