States/UTs,SC Enrolment - Classes I-V - Boys,SC Enrolment - Classes I-V - Girls,SC Enrolment - Classes I-V - Total,SC Enrolment - Classes VI-VIII - Boys,SC Enrolment - Classes VI-VIII - Girls,SC Enrolment - Classes VI-VIII - Total,SC Enrolment - Class I-VIII - Boys,SC Enrolment - Class I-VIII - Girls,SC Enrolment - Class I-VIII - Total,SC Enrolment - Class IX-X - Boys,SC Enrolment - Class IX-X - Girls,SC Enrolment - Class IX-X - Total,SC Enrolment - Class XI-XII - Boys,SC Enrolment - Class XI-XII - Girls,SC Enrolment - Class XI-XII - Total,SC Enrolment - Class I-XII - Boys,SC Enrolment - Class I-XII - Girls,SC Enrolment - Class I-XII - Total,ST Enrolment - Classes I-V - Boys,ST Enrolment - Classes I-V - Girls,ST Enrolment - Classes I-V - Total,ST Enrolment - Classes VI-VIII - Boys,ST Enrolment - Classes VI-VIII - Girls,ST Enrolment - Classes VI-VIII - Total,ST Enrolment - Class I-VIII - Boys,ST Enrolment - Class I-VIII - Girls,ST Enrolment - Class I-VIII - Total,ST Enrolment - Class IX-X - Boys,ST Enrolment - Class IX-X - Girls,ST Enrolment - Class IX-X - Total,ST Enrolment - Class XI-XII - Boys,ST Enrolment - Class XI-XII - Girls,ST Enrolment - Class XI-XII - Total,ST Enrolment - Class I-XII - Boys,ST Enrolment - Class I-XII - Girls,ST Enrolment - Class I-XII - Total,Rural Enrolment - Classes I-V - Boys,Rural Enrolment - Classes I-V - Girls,Rural Enrolment - Classes I-V - Total,Rural Enrolment - Classes VI-VIII - Boys,Rural Enrolment - Classes VI-VIII - Girls,Rural Enrolment - Classes VI-VIII - Total,Rural Enrolment - Class I-VIII - Boys,Rural Enrolment - Class I-VIII - Girls,Rural Enrolment - Class I-VIII - Total,Rural Enrolment - Class IX-X - Boys,Rural Enrolment - Class IX-X - Girls,Rural Enrolment - Class IX-X - Total,Rural Enrolment - Class XI-XII - Boys,Rural Enrolment - Class XI-XII - Girls,Rural Enrolment - Class XI-XII - Total,Rural Enrolment - Class I-XII - Boys,Rural Enrolment - Class I-XII - Girls,Rural Enrolment - Class I-XII - Total
Andhra Pradesh,18.95,19.13,19.04,18.90,18.75,18.83,18.93,19.00,18.97,18.41,18.27,18.34,19.07,19.16,19.11,18.87,18.91,18.89,10.51,10.07,10.30,8.15,7.02,7.60,9.69,9.03,9.37,6.85,5.84,6.37,7.36,5.64,6.62,9.03,8.28,8.67,70.14,70.92,70.53,67.89,67.11,67.52,69.36,69.62,69.49,66.88,64.45,65.72,0.21,0.15,0.19,61.47,62.74,62.08
Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.23,74.51,73.82,70.67,72.25,71.39,72.53,73.91,73.17,69.30,70.85,70.02,65.77,68.24,66.81,71.81,73.32,72.51,72.89,71.64,72.31,68.39,66.42,67.49,71.67,70.26,71.02,56.30,55.69,56.02,48.94,45.33,47.41,68.78,67.54,68.21
Assam,10.09,9.86,9.98,12.37,10.74,11.58,10.89,10.16,10.53,10.84,10.78,10.81,10.94,10.30,10.68,10.89,10.22,10.56,15.51,15.24,15.38,17.66,16.72,17.20,16.27,15.75,16.01,15.16,14.61,14.90,15.82,15.50,15.68,16.14,15.64,15.90,91.01,91.20,91.11,83.33,83.75,83.54,88.32,88.63,88.47,74.76,77.08,75.83,67.41,70.86,68.85,86.39,87.22,86.79
Bihar,16.84,15.42,16.23,14.64,12.48,13.77,16.36,14.84,15.71,11.76,9.96,11.12,9.12,6.03,8.03,15.76,14.33,15.16,1.17,1.01,1.10,0.84,0.80,0.82,1.10,0.97,1.04,0.68,0.61,0.65,1.35,0.91,1.19,1.07,0.95,1.02,88.39,88.06,88.25,84.80,82.32,83.80,87.61,86.93,87.32,78.14,77.84,78.03,2.73,1.96,2.46,84.17,84.35,84.25
Chhattisgarh,14.22,13.25,13.76,14.19,13.25,13.76,14.21,13.25,13.76,14.30,13.25,13.85,14.21,13.24,13.84,14.22,13.25,13.77,32.77,30.37,31.62,32.77,30.41,31.67,32.77,30.38,31.64,32.77,30.26,31.68,32.76,30.36,31.83,32.77,30.37,31.65,83.99,87.24,85.54,71.86,75.20,73.41,80.28,83.72,81.91,70.89,84.71,76.87,74.47,70.40,72.89,79.12,83.32,81.08
Goa,2.26,2.33,2.29,2.16,2.32,2.23,2.22,2.33,2.27,1.50,1.57,1.53,1.05,1.17,1.11,2.00,2.08,2.04,7.04,6.98,7.01,8.61,9.01,8.79,7.59,7.66,7.63,8.55,8.61,8.58,3.55,3.82,3.69,7.32,7.38,7.35,59.07,58.70,58.89,58.47,56.98,57.78,58.86,58.12,58.51,57.90,56.85,57.38,50.75,47.84,49.29,57.89,56.78,57.36
Gujarat,6.24,7.06,6.60,7.46,7.79,7.60,6.59,7.26,6.88,8.03,7.65,7.88,9.22,8.49,8.91,6.91,7.37,7.11,16.00,17.62,16.71,12.42,14.08,13.12,14.98,16.65,15.70,11.35,12.79,11.94,10.82,11.30,11.02,14.31,15.93,15.01,60.30,69.57,64.33,66.49,71.23,68.48,62.06,70.02,65.49,54.94,52.60,53.99,54.94,52.60,53.95,60.81,67.16,63.53
Haryana,28.24,29.28,28.72,22.14,22.97,22.52,26.12,27.16,26.60,19.00,17.92,18.51,14.51,13.98,14.28,23.88,24.66,24.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.53,68.97,68.74,70.60,72.20,71.33,69.25,70.06,69.63,72.02,73.14,72.53,77.38,77.40,77.39,70.50,71.17,70.81
Himachal pradesh,28.12,29.43,28.74,26.51,27.42,26.94,27.49,28.64,28.03,21.83,22.18,21.99,18.73,17.54,18.20,25.57,26.41,25.96,5.53,5.81,5.66,5.59,5.63,5.61,5.55,5.74,5.64,4.80,4.54,4.68,5.07,4.58,4.85,5.37,5.42,5.39,89.79,90.99,90.36,88.54,89.64,89.06,89.30,90.46,89.85,90.21,90.21,90.21,90.21,90.21,90.21,89.56,90.40,89.95
Jammu and Kashmir,7.93,7.61,7.78,9.04,9.92,9.42,8.27,8.26,8.27,8.92,9.97,9.38,6.45,7.16,6.77,8.21,8.36,8.28,13.00,12.59,12.81,10.31,8.65,9.58,12.17,11.48,11.85,8.09,7.56,7.86,4.40,5.15,4.73,11.12,10.61,10.89,75.62,73.36,74.56,94.04,93.22,93.68,81.33,78.96,80.24,29.20,28.96,29.10,27.17,25.21,26.30,71.28,69.87,70.64
Jharkhand,15.72,15.26,15.49,10.21,10.60,10.37,14.48,14.47,14.48,9.95,8.51,9.36,11.76,5.85,9.30,14.16,14.08,14.12,31.74,31.22,31.48,21.87,23.11,22.37,29.53,29.85,29.68,21.03,20.51,20.82,15.40,12.66,14.26,28.78,29.19,28.97,68.59,80.21,74.29,62.24,76.80,68.11,67.17,79.64,73.06,83.04,69.37,77.46,35.48,23.71,30.57,67.73,78.48,72.77
Karnataka,19.62,19.62,19.62,18.80,18.09,18.46,19.33,19.09,19.21,16.85,16.33,16.60,17.61,15.61,16.65,18.83,18.41,18.63,7.67,7.66,7.66,7.29,6.91,7.11,7.53,7.40,7.47,6.43,5.77,6.12,6.18,4.80,5.52,7.26,6.95,7.11,69.83,69.73,69.78,67.01,65.46,66.27,68.84,68.25,68.56,58.42,54.95,56.75,NA,NA,NA,61.34,60.51,60.94
Kerala,10.43,10.26,10.35,10.17,9.98,10.08,10.33,10.15,10.24,9.34,9.40,9.37,9.90,11.14,10.57,10.11,10.12,10.11,1.72,1.68,1.70,1.25,1.28,1.26,1.53,1.52,1.53,0.93,0.95,0.94,1.20,1.19,1.19,1.40,1.38,1.39,71.58,72.00,71.79,69.90,69.42,69.67,70.91,70.99,70.95,76.78,74.72,75.76,NA,NA,NA,65.88,64.21,65.06
Madhya Pradesh,12.67,14.08,13.35,10.83,11.09,10.95,12.14,13.27,12.67,20.04,18.21,19.35,14.95,13.74,14.50,13.16,13.67,13.39,20.76,22.01,21.36,13.25,12.80,13.04,18.60,19.51,19.03,11.75,10.92,11.44,10.47,8.99,9.92,17.36,18.39,17.84,72.06,76.23,74.05,61.20,59.43,60.39,68.94,71.67,70.23,67.19,64.09,66.02,56.08,56.55,56.26,67.94,70.42,69.08
Maharashtra,14.54,15.05,14.78,14.44,14.70,14.56,14.51,14.93,14.70,14.86,14.59,14.74,13.92,11.57,12.90,14.50,14.59,14.54,12.20,12.31,12.25,9.72,9.16,9.46,11.35,11.24,11.29,7.00,5.43,6.28,5.42,4.10,4.85,10.14,9.81,9.98,59.00,59.00,59.00,55.00,53.00,54.06,57.62,56.95,57.31,55.67,51.67,53.83,34.04,34.58,34.27,55.04,54.29,54.69
Manipur,2.53,2.45,2.49,3.72,3.79,3.75,2.87,2.83,2.85,4.06,3.95,4.01,3.12,3.00,3.07,3.03,2.98,3.00,36.22,34.30,35.29,26.91,25.08,26.04,33.54,31.71,32.66,26.23,22.83,24.56,19.40,19.97,19.65,32.03,30.13,31.12,77.93,77.21,77.58,67.89,66.77,67.36,75.04,74.28,74.67,62.09,61.35,61.72,42.55,46.06,44.10,72.04,71.57,71.82
Meghalaya,0.57,0.50,0.54,1.47,1.12,1.29,0.78,0.66,0.72,2.08,1.87,1.97,2.01,2.60,2.32,0.88,0.77,0.83,84.43,80.53,82.52,75.73,77.19,76.48,82.39,79.69,81.06,82.65,88.29,85.55,75.63,81.44,78.67,82.32,80.35,81.34,82.13,81.40,81.77,64.84,64.32,64.57,78.08,77.13,77.61,55.71,53.74,54.70,49.48,38.82,43.91,76.18,74.86,75.53
Mizoram,0.03,0.02,0.03,0.27,0.23,0.25,0.09,0.08,0.08,0.52,0.36,0.44,0.92,0.75,0.83,0.18,0.14,0.16,99.26,99.32,99.29,98.94,98.99,98.96,99.18,99.24,99.21,98.17,98.58,98.37,94.64,93.98,94.32,98.84,98.89,98.86,53.78,52.50,53.17,46.04,44.25,45.17,51.83,50.35,51.12,34.93,32.31,33.62,7.18,6.80,7.00,47.68,45.99,46.87
Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.49,93.57,94.05,94.55,91.36,92.99,94.51,92.92,93.74,96.96,96.41,96.69,91.89,97.55,94.48,94.56,93.49,94.04,61.10,62.13,61.60,61.66,61.98,61.82,61.26,62.09,61.66,61.52,62.03,61.77,60.83,62.05,61.39,61.26,62.08,61.66
Orissa,19.69,19.96,19.82,18.85,18.80,18.83,19.43,19.62,19.52,15.45,14.86,15.18,10.77,9.50,10.22,18.51,18.65,18.58,27.58,27.79,27.68,18.66,16.58,17.68,24.83,24.47,24.66,13.41,11.39,12.48,11.35,10.21,10.86,22.78,22.41,22.60,90.01,90.31,90.15,88.58,88.48,88.53,89.57,89.77,89.66,82.74,78.80,80.93,46.11,45.86,46.00,86.47,86.64,86.55
Punjab,47.71,50.00,48.77,38.19,39.61,38.84,44.61,46.70,45.57,33.45,32.00,32.77,25.43,24.23,24.90,41.69,43.16,42.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.14,55.43,55.81,70.15,71.39,70.71,60.70,60.50,60.61,65.53,63.75,64.69,48.92,84.23,64.50,60.26,62.75,61.41
Rajasthan,20.15,20.01,20.09,17.59,16.69,17.23,19.34,19.13,19.25,15.80,14.11,15.21,13.79,11.46,13.03,18.61,18.42,18.53,14.61,14.68,14.64,12.56,11.88,12.29,13.96,13.94,13.95,11.59,11.13,11.43,9.81,8.17,9.28,13.45,13.49,13.47,79.36,81.76,80.46,72.05,72.36,72.17,77.05,79.27,78.03,51.12,64.15,55.65,42.99,42.05,42.69,72.04,76.64,74.00
Sikkim,7.24,7.14,7.19,5.89,5.67,5.77,6.89,6.71,6.80,4.60,4.48,4.54,4.43,4.38,4.41,6.57,6.39,6.48,36.26,37.90,37.07,35.38,37.65,36.60,36.04,37.83,36.94,34.00,38.81,36.43,34.71,37.85,36.33,35.79,37.92,36.86,94.63,95.99,95.30,93.23,96.03,94.73,94.27,96.00,95.14,84.74,85.38,85.06,78.88,76.14,77.47,92.65,94.01,93.34
Tamil Nadu,25.09,25.47,25.27,25.07,25.51,25.28,25.08,25.48,25.27,23.95,24.63,24.28,21.40,21.00,21.19,24.57,24.88,24.72,1.79,1.74,1.77,1.18,1.07,1.13,1.56,1.49,1.52,0.85,0.73,0.79,0.69,0.49,0.58,1.37,1.26,1.32,42.61,68.23,55.00,37.15,53.54,45.00,40.52,62.68,51.20,39.49,50.80,45.00,44.47,45.48,45.00,40.71,59.02,49.62
Tripura,18.67,19.08,18.87,20.83,21.98,21.39,19.31,19.95,19.62,19.68,20.46,20.06,20.69,19.63,20.22,19.44,19.99,19.70,41.96,40.99,41.49,34.12,29.82,32.03,39.63,37.65,38.67,31.46,28.08,29.83,23.09,20.03,21.75,37.71,35.67,36.73,87.31,86.99,87.16,80.62,79.16,79.91,85.32,84.65,85.00,74.54,71.15,72.90,57.15,49.06,53.60,82.39,81.31,81.87
Uttar Pradesh,26.67,26.58,26.63,18.96,21.67,20.18,24.51,25.36,24.91,9.94,9.34,9.69,8.17,7.12,7.74,21.01,22.19,21.56,0.63,0.61,0.62,0.45,0.48,0.46,0.58,0.58,0.58,0.30,0.24,0.27,0.24,0.20,0.22,0.51,0.51,0.51,86.41,88.35,87.36,62.06,71.65,66.36,79.58,84.18,81.78,73.78,69.26,71.89,51.91,52.99,52.36,76.30,80.22,78.12
Uttarakhand,25.96,26.16,26.06,24.84,23.36,24.13,25.60,25.26,25.44,15.27,12.63,14.11,14.81,8.96,11.98,23.11,22.25,22.70,4.03,4.22,4.12,4.26,4.27,4.27,4.11,4.23,4.17,2.94,3.16,3.03,3.78,2.76,3.29,3.90,3.97,3.93,74.29,75.86,75.06,68.89,70.43,69.63,72.54,74.12,73.31,80.19,84.25,81.97,91.26,86.81,89.10,75.22,76.50,75.83
West Bengal,27.00,26.67,26.84,27.62,25.81,26.73,27.18,26.42,26.81,22.33,22.61,22.46,17.83,17.73,17.79,25.97,25.57,25.78,6.81,6.65,6.73,5.55,4.68,5.12,6.45,6.08,6.27,5.13,3.63,4.46,1.94,3.21,2.48,5.98,5.68,5.84,67.94,67.79,67.87,66.05,62.50,64.29,67.40,66.26,66.84,66.69,61.07,64.16,66.44,60.64,63.98,67.25,65.44,66.38
Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71,7.10,7.42,7.44,7.51,7.48,7.61,7.25,7.44,7.77,7.56,7.67,7.36,9.97,8.66,7.61,7.58,7.59,67.96,70.47,69.18,68.02,69.20,68.58,67.98,69.99,68.95,67.71,66.33,67.05,58.47,57.15,57.81,67.04,68.12,67.56
Chandigarh,7.80,8.55,8.13,7.68,9.54,8.51,7.75,8.91,8.27,5.33,6.45,5.83,1.87,2.42,2.12,6.57,7.60,7.03,0.07,0.07,0.07,0.00,0.14,0.06,0.05,0.09,0.07,0.01,0.04,0.02,0.01,0.04,0.03,0.04,0.08,0.06,30.49,33.94,32.04,20.82,24.29,22.37,27.01,30.48,28.56,14.19,17.07,15.47,6.02,4.98,5.55,22.17,24.83,23.36
Dadra and Nagar Haveli,1.52,1.48,1.50,2.03,2.95,2.41,1.67,1.84,1.75,2.44,3.58,2.90,2.88,4.36,3.42,1.83,2.10,1.95,66.37,69.39,67.82,66.87,64.20,65.77,66.52,68.13,67.26,70.05,60.53,66.22,68.28,54.97,63.44,67.00,66.90,66.95,83.42,83.41,83.41,75.50,74.01,74.89,81.08,81.13,81.11,71.12,70.88,71.02,65.71,44.34,57.94,79.06,78.61,78.86
Daman and Diu,4.37,4.07,4.23,5.28,5.29,5.29,4.68,4.48,4.59,7.41,6.15,6.78,5.77,6.14,5.94,5.15,4.88,5.03,12.16,12.42,12.28,13.08,12.01,12.59,12.48,12.28,12.39,10.70,10.12,10.41,8.69,9.40,9.02,11.91,11.69,11.81,59.74,63.66,61.55,60.37,62.03,61.13,59.96,63.11,61.41,61.42,62.00,61.71,23.42,28.36,25.75,57.09,59.96,58.44
Delhi,12.38,11.31,11.88,9.77,11.04,10.36,11.43,11.22,11.33,9.80,11.03,10.37,9.83,8.76,9.34,11.06,10.96,11.01,0.51,0.52,0.51,0.38,0.38,0.38,0.46,0.47,0.47,0.40,0.41,0.40,0.45,0.52,0.48,0.45,0.47,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.68,86.11,87.44,85.19,81.04,83.20,87.36,84.22,85.85,50.27,45.67,48.09,38.64,40.04,39.35,75.60,72.55,74.12
Puducherry,18.00,18.67,18.33,18.34,19.36,18.83,18.13,18.93,18.52,18.35,18.92,18.63,15.72,14.42,15.03,17.94,18.43,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.25,37.51,37.89,37.03,35.49,36.30,37.78,36.74,37.28,37.21,34.29,35.77,28.44,26.73,27.53,36.80,35.21,36.02
INDIA,19.29,19.54,19.41,17.17,17.58,17.36,18.64,18.97,18.80,15.05,14.84,14.96,13.56,12.79,13.23,17.82,18.12,17.96,10.78,10.91,10.84,8.40,8.05,8.24,10.06,10.08,10.07,6.45,5.84,6.18,5.16,4.32,4.80,9.25,9.24,9.24,73.56,76.64,75.02,64.89,66.93,65.82,70.92,73.84,72.29,64.19,62.74,63.55,40.12,39.34,39.78,67.84,70.39,69.02
